
=== START 2026-03-09 23:56:19 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNHLTOTAL-26MAR09NYRPHI-6 --yes-budget-cents 500 --no-budget-cents 500
23:56:19 INFO START | environment=PROD ticker=KXNHLTOTAL-26MAR09NYRPHI-6 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
00:05:08 INFO AMEND_OK | side=no price_dollars=0.2400 total_fillable_contracts=20.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:09 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:09 INFO AMEND_OK | side=no price_dollars=0.2600 total_fillable_contracts=19.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:12 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:13 INFO AMEND_OK | side=yes price_dollars=0.5900 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:14 INFO AMEND_OK | side=yes price_dollars=0.6200 total_fillable_contracts=7.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:15 INFO AMEND_OK | side=yes price_dollars=0.6100 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:16 INFO AMEND_OK | side=yes price_dollars=0.6000 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:16 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=14.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:17 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:17 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:18 INFO AMEND_OK | side=yes price_dollars=0.5100 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:18 INFO AMEND_OK | side=no price_dollars=0.4100 total_fillable_contracts=12.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:21 INFO AMEND_OK | side=yes price_dollars=0.5000 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:22 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=180.00
00:05:22 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:05:25 INFO AMEND_OK | side=no price_dollars=0.2300 total_fillable_contracts=21.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:26 INFO AMEND_OK | side=yes price_dollars=0.5100 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:26 INFO AMEND_OK | side=no price_dollars=0.2600 total_fillable_contracts=19.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:37 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=0.00
00:05:37 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:05:40 INFO AMEND_OK | side=no price_dollars=0.2700 total_fillable_contracts=18.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
